standing_id,season,team_id,wins,losses,ties,points_for,points_against,standing,playoff_seed
1,2016,1,8,3,0,907.0,860.0,4,4
2,2016,31,8,3,0,978.0,839.0,3,3
3,2016,3,6,5,0,864.0,819.0,5,5
4,2016,4,8,3,0,1060.0,825.0,1,1
5,2016,26,4,7,0,888.0,882.0,8,8
6,2016,6,5,6,0,779.0,821.0,7,7
7,2016,7,5,6,0,862.0,838.0,6,6
8,2016,8,3,8,0,640.0,922.0,12,12
9,2016,9,8,3,0,929.0,813.0,2,2
10,2016,10,4,7,0,831.0,895.0,9,9
11,2016,11,4,7,0,800.0,961.0,10,10
12,2016,12,3,8,0,885.0,948.0,11,11
13,2017,1,11,2,0,1245.68,931.33,1,1
14,2017,31,2,11,0,667.0000000000001,1006.96,16,16
15,2017,16,5,8,0,871.9399999999999,887.01,11,11
16,2017,4,6,7,0,1009.0999999999999,1002.15,8,8
17,2017,26,4,9,0,827.9099999999999,964.9,13,13
18,2017,7,10,3,0,1309.37,1065.39,5,5
19,2017,8,5,8,0,823.32,924.55,12,12
20,2017,9,10,3,0,958.9000000000002,758.56,4,4
21,2017,11,10,3,0,1137.54,992.52,3,3
22,2017,12,6,7,0,1074.74,1015.36,6,6
23,2017,13,4,9,0,687.8399999999999,1039.31,15,15
24,2017,2,11,2,0,1198.59,907.05,2,2
25,2017,25,5,8,0,983.4100000000001,1103.75,9,9
26,2017,30,6,7,0,1028.8,1094.73,7,7
27,2017,17,5,8,0,900.8999999999999,832.62,10,10
28,2017,10,4,9,0,824.8200000000002,1023.67,14,14
29,2018,1,11,3,0,1840.0400000000002,1416.29,1,1
30,2018,26,6,8,0,1350.54,1478.59,6,6
31,2018,4,10,4,0,1613.76,1350.96,2,2
32,2018,7,7,7,0,1303.61,1423.88,5,5
33,2018,9,5,9,0,1273.8299999999997,1414.16,7,7
34,2018,11,2,12,0,978.01,1400.82,8,8
35,2018,12,7,7,0,1593.3799999999997,1627.45,4,4
36,2018,25,8,6,0,1585.64,1426.66,3,3
37,2019,1,9,5,0,1462.85,1378.38,3,3
38,2019,26,2,12,0,967.0000000000001,1276.23,10,10
39,2019,4,8,6,0,1393.4699999999998,1375.86,5,5
40,2019,7,6,8,0,1376.5300000000002,1496.93,7,7
41,2019,9,8,6,0,1483.79,1240.86,4,4
42,2019,11,5,9,0,1261.3200000000002,1416.24,8,8
43,2019,12,9,5,0,1290.96,1251.45,2,2
44,2019,25,8,6,0,1371.72,1325.49,6,6
45,2019,16,5,9,0,1144.95,1305.36,9,9
46,2019,17,10,4,0,1511.02,1196.81,1,1
47,2020,1,9,5,0,1439.6100000000001,1381.93,3,3
48,2020,26,5,9,0,1279.5099999999998,1394.22,9,9
49,2020,4,2,12,0,1290.77,1466.33,10,10
50,2020,7,11,3,0,1529.1499999999999,1317.27,1,1
51,2020,9,8,6,0,1446.7500000000002,1337.25,5,5
52,2020,11,7,7,0,1336.24,1489.83,6,6
53,2020,12,6,8,0,1425.3700000000001,1419.82,8,8
54,2020,25,7,7,0,1426.94,1310.76,2,2
55,2020,16,7,7,0,1301.44,1430.54,7,7
56,2020,17,8,6,0,1492.9299999999998,1420.76,4,4
57,2021,1,7,7,0,1710.3600000000001,1589.43,6,6
58,2021,26,4,10,0,1470.09,1694.22,9,9
59,2021,4,11,3,0,1580.6399999999999,1375.43,1,1
60,2021,7,10,4,0,1716.2199999999998,1552.59,2,2
61,2021,9,8,6,0,1541.3999999999999,1585.51,5,5
62,2021,11,4,10,0,1571.13,1654.61,8,8
63,2021,12,9,5,0,1707.27,1592.37,3,3
64,2021,15,2,12,0,1388.5600000000002,1683.55,10,10
65,2021,16,9,5,0,1546.0,1381.41,4,4
66,2021,17,6,8,0,1406.1599999999999,1528.71,7,7
67,2022,1,10,4,0,1680.9800000000002,1512.73,2,2
68,2022,26,4,10,0,1330.49,1616.9,10,10
69,2022,4,7,7,0,1444.8000000000002,1481.73,5,5
70,2022,7,6,8,0,1454.37,1498.1,7,7
71,2022,9,5,9,0,1559.58,1518.84,8,8
72,2022,11,10,4,0,1688.9699999999998,1497.9,1,1
73,2022,12,4,10,0,1487.1200000000001,1554.77,9,9
74,2022,15,8,6,0,1541.21,1449.72,4,4
75,2022,16,7,7,0,1294.72,1480.54,6,6
76,2022,17,9,5,0,1696.4899999999998,1567.5,3,3
77,2023,1,6,8,0,1546.16,1645.28,6,6
78,2023,26,5,9,0,1417.21,1524.52,8,8
79,2023,4,9,5,0,1629.3499999999997,1417.58,3,3
80,2023,7,6,8,0,1405.63,1610.03,7,7
81,2023,9,11,3,0,1697.1999999999998,1474.87,1,1
82,2023,11,8,6,0,1550.4,1427.18,4,4
83,2023,12,9,5,0,1697.62,1538.36,2,2
84,2023,15,5,9,0,1413.2,1583.47,9,9
85,2023,16,7,7,0,1401.31,1420.76,5,5
86,2023,17,4,10,0,1377.97,1494.0,10,10
87,2024,1,6,8,0,1554.1100000000001,1709.82,7,7
88,2024,26,4,10,0,1611.34,1680.22,9,9
89,2024,4,10,4,0,1690.92,1679.39,1,1
90,2024,7,8,6,0,1524.2600000000002,1496.21,5,5
91,2024,9,8,6,0,1750.4099999999999,1609.86,2,2
92,2024,11,5,9,0,1493.97,1570.72,8,8
93,2024,12,6,8,0,1636.17,1602.73,6,6
94,2024,15,9,5,0,1623.3899999999999,1449.91,4,4
95,2024,16,10,4,0,1535.42,1435.21,3,3
96,2024,17,4,10,0,1367.9,1553.82,10,10
